Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
21-09-2022,308.2900085,313.7999878,300.6300049,300.7999878,300.7999878,62555700,TSLA
22-09-2022,299.8599854,301.2900085,285.8200073,288.5899963,288.5899963,70545400,TSLA
23-09-2022,283.0899963,284.5,272.8200073,275.3299866,275.3299866,63748400,TSLA
26-09-2022,271.8299866,284.0899963,270.3099976,276.0100098,276.0100098,58076900,TSLA
27-09-2022,283.8399963,288.6700134,277.5100098,282.9400024,282.9400024,61925200,TSLA
28-09-2022,283.0799866,289,277.5700073,287.8099976,287.8099976,54664800,TSLA
29-09-2022,282.7600098,283.6499939,265.7799988,268.2099915,268.2099915,77620600,TSLA
30-09-2021,285.7099915,287.8299866,281.6199951,281.9200134,278.7928467,32343600,MSFT
01-10-2021,282.1199951,289.980011,281.2900085,289.1000061,285.893219,30086300,MSFT
04-10-2021,287.3999939,287.75,280.25,283.1099854,279.969635,31350700,MSFT
05-10-2021,284.0499878,290.3999939,284.0499878,288.7600098,285.5569458,24993000,MSFT
06-10-2021,285.7799988,293.6300049,285.5100098,293.1099854,289.8586731,28002600,MSFT
07-10-2021,295.1799927,296.6400146,293.9200134,294.8500061,291.5794373,20430500,MSFT
08-10-2021,296.2200012,296.6400146,293.7600098,294.8500061,291.5794373,17685700,MSFT
11-10-2021,292.9200134,297.9700012,292.75,294.230011,290.9663391,19298600,MSFT
12-10-2021,295.3399963,295.4400024,292.3500061,292.8800049,289.6312561,17974100,MSFT
13-10-2021,294.9100037,297.2799988,293.4899902,296.3099976,293.0231934,23416300,MSFT
14-10-2021,299.2099915,303.269989,297.8299866,302.75,299.3917847,27262900,MSFT
15-10-2021,302.3399963,304.4500122,300.519989,304.2099915,300.8356018,25384800,MSFT
18-10-2021,303.5700073,308.2099915,302.6900024,307.2900085,303.8814392,22729300,MSFT
19-10-2021,308.3500061,309.2999878,307.2200012,308.230011,304.8110352,17682100,MSFT
20-10-2021,309.2099915,309.7000122,306.1099854,307.4100037,304.0000916,16537100,MSFT
21-10-2021,307.1700134,311.019989,306.3599854,310.7600098,307.3129272,16918100,MSFT
22-10-2021,310.3999939,311.0899963,307.7999878,309.1600037,305.7306519,17449300,MSFT
25-10-2021,309.3599854,309.3999939,306.4599915,308.1300049,304.7120972,17554500,MSFT
26-10-2021,311,312.3999939,308.6000061,310.1099854,306.6701355,28107300,MSFT
27-10-2021,316,326.1000061,316,323.1700134,319.5852966,52588700,MSFT
28-10-2021,324.3299866,324.8699951,321.3599854,324.3500061,320.7521973,26297900,MSFT
29-10-2021,324.1300049,332,323.8999939,331.6199951,327.9415283,34766000,MSFT
01-11-2021,331.3599854,331.4899902,326.3699951,329.3699951,325.7164917,27073200,MSFT
02-11-2021,330.3099976,333.4500122,330,333.1300049,329.4348145,26487100,MSFT
03-11-2021,333.8999939,334.8999939,330.6499939,334,330.2951355,21500100,MSFT
